fecha,anio,mes,linea,afluencia
2006-08-13,2006,Agosto,Línea 1,84133.0
2006-08-14,2006,Agosto,Línea 1,248697.0
2006-08-15,2006,Agosto,Línea 1,268322.0
2006-08-16,2006,Agosto,Línea 1,272632.0
2006-08-17,2006,Agosto,Línea 1,273202.0
2006-08-18,2006,Agosto,Línea 1,282322.0
2006-08-19,2006,Agosto,Línea 1,142938.0
2006-08-20,2006,Agosto,Línea 1,79651.0
2006-08-21,2006,Agosto,Línea 1,255820.0
2006-08-22,2006,Agosto,Línea 1,265950.0
2006-08-23,2006,Agosto,Línea 1,271776.0
2006-08-24,2006,Agosto,Línea 1,267971.0
2006-08-25,2006,Agosto,Línea 1,265267.0
2006-08-26,2006,Agosto,Línea 1,138074.0
2006-08-27,2006,Agosto,Línea 1,71246.0
2006-08-28,2006,Agosto,Línea 1,261312.0
2006-08-29,2006,Agosto,Línea 1,268863.0
2006-08-30,2006,Agosto,Línea 1,280030.0
2006-08-31,2006,Agosto,Línea 1,277404.0
2006-09-01,2006,Septiembre,Línea 1,269721.0
2006-09-02,2006,Septiembre,Línea 1,144573.0
2006-09-03,2006,Septiembre,Línea 1,81423.0
2006-09-04,2006,Septiembre,Línea 1,265608.0
2006-09-05,2006,Septiembre,Línea 1,267208.0
2006-09-06,2006,Septiembre,Línea 1,272585.0
2006-09-07,2006,Septiembre,Línea 1,264794.0
2006-09-08,2006,Septiembre,Línea 1,286125.0
2006-09-09,2006,Septiembre,Línea 1,157009.0
2006-09-10,2006,Septiembre,Línea 1,86370.0
2006-09-11,2006,Septiembre,Línea 1,271207.0
2006-09-12,2006,Septiembre,Línea 1,276537.0
2006-09-13,2006,Septiembre,Línea 1,278952.0
2006-09-14,2006,Septiembre,Línea 1,275538.0
2006-09-15,2006,Septiembre,Línea 1,217212.0
2006-09-16,2006,Septiembre,Línea 1,87651.0
2006-09-17,2006,Septiembre,Línea 1,77128.0
2006-09-18,2006,Septiembre,Línea 1,256076.0
2006-09-19,2006,Septiembre,Línea 1,256912.0
2006-09-20,2006,Septiembre,Línea 1,254043.0
2006-09-21,2006,Septiembre,Línea 1,247408.0
2006-09-22,2006,Septiembre,Línea 1,259357.0
2006-09-23,2006,Septiembre,Línea 1,141941.0
2006-09-24,2006,Septiembre,Línea 1,78087.0
2006-09-25,2006,Septiembre,Línea 1,245199.0
2006-09-26,2006,Septiembre,Línea 1,250183.0
2006-09-27,2006,Septiembre,Línea 1,248292.0
2006-09-28,2006,Septiembre,Línea 1,254868.0
2006-09-29,2006,Septiembre,Línea 1,268128.0
2006-09-30,2006,Septiembre,Línea 1,139152.0
2006-10-01,2006,Octubre,Línea 1,77147.0
2006-10-02,2006,Octubre,Línea 1,246758.0
2006-10-03,2006,Octubre,Línea 1,250218.0
2006-10-04,2006,Octubre,Línea 1,249925.0
2006-10-05,2006,Octubre,Línea 1,245142.0
2006-10-06,2006,Octubre,Línea 1,252635.0
2006-10-07,2006,Octubre,Línea 1,135200.0
2006-10-08,2006,Octubre,Línea 1,75518.0
2006-10-09,2006,Octubre,Línea 1,244948.0
2006-10-10,2006,Octubre,Línea 1,240058.0
2006-10-11,2006,Octubre,Línea 1,255823.0
2006-10-12,2006,Octubre,Línea 1,246025.0
2006-10-13,2006,Octubre,Línea 1,255100.0
2006-10-14,2006,Octubre,Línea 1,138581.0
2006-10-15,2006,Octubre,Línea 1,79900.0
2006-10-16,2006,Octubre,Línea 1,248787.0
2006-10-17,2006,Octubre,Línea 1,252155.0
2006-10-18,2006,Octubre,Línea 1,251187.0
2006-10-19,2006,Octubre,Línea 1,248716.0
2006-10-20,2006,Octubre,Línea 1,257046.0
2006-10-21,2006,Octubre,Línea 1,135240.0
2006-10-22,2006,Octubre,Línea 1,73921.0
2006-10-23,2006,Octubre,Línea 1,235553.0
2006-10-24,2006,Octubre,Línea 1,236994.0
2006-10-25,2006,Octubre,Línea 1,242081.0
2006-10-26,2006,Octubre,Línea 1,240821.0
2006-10-27,2006,Octubre,Línea 1,251986.0
2006-10-28,2006,Octubre,Línea 1,137500.0
2006-10-29,2006,Octubre,Línea 1,79090.0
2006-10-30,2006,Octubre,Línea 1,237910.0
2006-10-31,2006,Octubre,Línea 1,239955.0
2006-11-01,2006,Noviembre,Línea 1,229723.0
2006-11-02,2006,Noviembre,Línea 1,109791.0
2006-11-03,2006,Noviembre,Línea 1,203356.0
2006-11-04,2006,Noviembre,Línea 1,122757.0
2006-11-05,2006,Noviembre,Línea 1,72151.0
2006-11-06,2006,Noviembre,Línea 1,241812.0
2006-11-07,2006,Noviembre,Línea 1,243792.0
2006-11-08,2006,Noviembre,Línea 1,246976.0
2006-11-09,2006,Noviembre,Línea 1,247292.0
2006-11-10,2006,Noviembre,Línea 1,252729.0
2006-11-11,2006,Noviembre,Línea 1,138872.0
2006-11-12,2006,Noviembre,Línea 1,75961.0
2006-11-13,2006,Noviembre,Línea 1,234317.0
2006-11-14,2006,Noviembre,Línea 1,237899.0
2006-11-15,2006,Noviembre,Línea 1,251115.0
2006-11-16,2006,Noviembre,Línea 1,245254.0
2006-11-17,2006,Noviembre,Línea 1,248845.0
2006-11-18,2006,Noviembre,Línea 1,129946.0
2006-11-19,2006,Noviembre,Línea 1,67697.0
2006-11-20,2006,Noviembre,Línea 1,72292.0
2006-11-21,2006,Noviembre,Línea 1,235205.0
2006-11-22,2006,Noviembre,Línea 1,240144.0
2006-11-23,2006,Noviembre,Línea 1,236820.0
2006-11-24,2006,Noviembre,Línea 1,243421.0
2006-11-25,2006,Noviembre,Línea 1,140458.0
2006-11-26,2006,Noviembre,Línea 1,75285.0
2006-11-27,2006,Noviembre,Línea 1,233565.0
2006-11-28,2006,Noviembre,Línea 1,235265.0
2006-11-29,2006,Noviembre,Línea 1,257947.0
2006-11-30,2006,Noviembre,Línea 1,276680.0
2006-12-01,2006,Diciembre,Línea 1,96268.0
2006-12-02,2006,Diciembre,Línea 1,127924.0
2006-12-03,2006,Diciembre,Línea 1,73723.0
2006-12-04,2006,Diciembre,Línea 1,245917.0
2006-12-05,2006,Diciembre,Línea 1,246306.0
2006-12-06,2006,Diciembre,Línea 1,262170.0
2006-12-07,2006,Diciembre,Línea 1,255921.0
2006-12-08,2006,Diciembre,Línea 1,252692.0
2006-12-09,2006,Diciembre,Línea 1,140272.0
2006-12-10,2006,Diciembre,Línea 1,76359.0
2006-12-11,2006,Diciembre,Línea 1,239049.0
2006-12-12,2006,Diciembre,Línea 1,193433.0
2006-12-13,2006,Diciembre,Línea 1,247338.0
2006-12-14,2006,Diciembre,Línea 1,251342.0
2006-12-15,2006,Diciembre,Línea 1,255850.0
2006-12-16,2006,Diciembre,Línea 1,133312.0
2006-12-17,2006,Diciembre,Línea 1,83084.0
2006-12-18,2006,Diciembre,Línea 1,238035.0
2006-12-19,2006,Diciembre,Línea 1,239980.0
2006-12-20,2006,Diciembre,Línea 1,244319.0
2006-12-21,2006,Diciembre,Línea 1,222847.0
2006-12-22,2006,Diciembre,Línea 1,217396.0
2006-12-23,2006,Diciembre,Línea 1,118796.0
2006-12-24,2006,Diciembre,Línea 1,62041.0
2006-12-25,2006,Diciembre,Línea 1,43414.0
2006-12-26,2006,Diciembre,Línea 1,160012.0
2006-12-27,2006,Diciembre,Línea 1,169201.0
2006-12-28,2006,Diciembre,Línea 1,164453.0
2006-12-29,2006,Diciembre,Línea 1,169687.0
2006-12-30,2006,Diciembre,Línea 1,107308.0
