stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding
B_0300L7-GTACOLON0,Amajac,19.434,-99.15316,0300L7-GTACOLON0,1
B_0300L7-CABALLITO1,El Caballito,19.43503,-99.15039,0300L7-CABALLITO1,1
B_0300L7-CABALLITO0,El Caballito,19.43607,-99.14906,0300L7-CABALLITO0,1
B_0300L7-HIDALGO1,Hidalgo,19.43663,-99.1476,0300L7-HIDALGO1,1
B_0300L7-HIDALGO0,Hidalgo,19.43787,-99.14638,0300L7-HIDALGO0,1
B_0300L7-GTAVIOLETA1,Glorieta Violeta,19.43955,-99.1441,0300L7-GTAVIOLETA1,1
B_0300L7-GTAVIOLETA0,Glorieta Violeta,19.44155,-99.14234,0300L7-GTAVIOLETA0,1
B_0300L7-GARIBALDI1,Garibaldi,19.44351,-99.13955,0300L7-GARIBALDI1,1
B_0300L7-GARIBALDI0,Garibaldi,19.44486,-99.1387,0300L7-GARIBALDI0,1
B_0300L7-GTACUI1,Glorieta Cuitláhuac,19.44725,-99.13564,0300L7-GTACUI1,1
B_0300L7-GTACUI0,Glorieta Cuitláhuac,19.44947,-99.13399,0300L7-GTACUI0,1
B_0300L7-TRESCULT1,Tres Culturas,19.45072,-99.13262,0300L7-TRESCULT1,1
B_0300L7-TRESCULT0,Tres Culturas,19.45126,-99.13258,0300L7-TRESCULT0,1
B_0300L7-PERALVILLO1,Peralvillo,19.45274,-99.13102,0300L7-PERALVILLO1,1
B_0300L7-PERALVILLO0,Peralvillo,19.45371,-99.13081,0300L7-PERALVILLO0,1
B_0300L7-MDOBEET1,Mercado Beethoven,19.45714,-99.12928,0300L7-MDOBEET1,1
B_0300L7-MDOBEET0,Mercado Beethoven,19.45761,-99.12918,0300L7-MDOBEET0,1
B_0300L7-MISTERIOS1,Misterios,19.46107,-99.12764,0300L7-MISTERIOS1,1
B_0300L7-MISTERIOS0,Misterios,19.46239,-99.12732,0300L7-MISTERIOS0,1
B_0300L7-CLAVE1,Clave,19.46441,-99.12648,0300L7-CLAVE1,1
