nombre,lat,lon,sistema,municipio_asignado
Garrido,19.48305,-99.11948,Metro/Metrobús,
Garrido,19.4835,-99.11936,Metro/Metrobús,
Delegación Gustavo A. Madero,19.48368,-99.11392,Metro/Metrobús,
Hospital Infantil La Villa,19.48708,-99.11381,Metro/Metrobús,
De Los Misterios,19.4876,-99.11783,Metro/Metrobús,
Indios Verdes,19.4933,-99.121,Metro/Metrobús,
482,19.46686,-99.07552,Metro/Metrobús,
414,19.46843,-99.07159,Metro/Metrobús,
Villa de Aragón,19.464920000000006,-99.05952,Metro/Metrobús,
Francisco Morazán,19.46705,-99.06183,Metro/Metrobús,
Colegio de Bachilleres 9,19.4698,-99.065,Metro/Metrobús,
416 Oriente,19.47114,-99.07091,Metro/Metrobús,
La Pradera,19.47313,-99.06867,Metro/Metrobús,
Volcán de Fuego,19.47697,-99.07252,Metro/Metrobús,
Ampliación Providencia,19.47985,-99.0753,Metro/Metrobús,
Deportivo Los Galeana,19.47846,-99.07805,Metro/Metrobús,
416 Poniente,19.472520000000006,-99.07938,Metro/Metrobús,
Loreto Fabela,19.4674,-99.08098,Metro/Metrobús,
Pueblo San Juan de Aragón,19.47101,-99.08636,Metro/Metrobús,
Casas Alemán,19.47432,-99.08837,Metro/Metrobús,
Gran Canal,19.47709,-99.09293,Metro/Metrobús,
San Juan de Aragón,19.47876,-99.09717,Metro/Metrobús,
Hospital General La Villa,19.48037,-99.10119,Metro/Metrobús,
Martín Carrera,19.48204,-99.10534,Metro/Metrobús,
Delegación Gustavo A. Madero,19.48389,-99.11234,Metro/Metrobús,
Hospital Infantil La Villa,19.48804,-99.1147,Metro/Metrobús,
De Los Misterios,19.48721,-99.11795,Metro/Metrobús,
La Villa,19.48543,-99.1196,Metro/Metrobús,
Deportivo 18 de Marzo,19.4866,-99.1224,Metro/Metrobús,
Riobamba,19.48865,-99.1279,Metro/Metrobús,
Instituto Politécnico Nacional,19.49043,-99.13265,Metro/Metrobús,
San Bartolo,19.49196,-99.13911,Metro/Metrobús,
Instituto del Petróleo,19.49315,-99.14517,Metro/Metrobús,
Lindavista - Vallejo,19.49378,-99.14804,Metro/Metrobús,
Montevideo,19.49488,-99.15306,Metro/Metrobús,
Norte 45,19.49635,-99.15975,Metro/Metrobús,
Norte 59,19.49762,-99.16555,Metro/Metrobús,
Tecnoparque,19.50247,-99.17888,Metro/Metrobús,
UAM Azcapotzalco,19.50401,-99.18399,Metro/Metrobús,
Ferocarriles Nacionales,19.50487,-99.1886,Metro/Metrobús,
De Las Culturas,19.51094,-99.19261,Metro/Metrobús,
Colegio de Bachilleres 1,19.51164,-99.19731,Metro/Metrobús,
El Rosario,19.50717,-99.19955,Metro/Metrobús,
Preparatoria 1,19.27351,-99.12051,Metro/Metrobús,
DIF Xochimilco,19.27747,-99.11809,Metro/Metrobús,
Circuito Cuemanco,19.28104,-99.1168,Metro/Metrobús,
Muyuguarda,19.28522,-99.11549,Metro/Metrobús,
Cañaverales,19.29541,-99.11449,Metro/Metrobús,
Calzada del Hueso,19.30091,-99.11354,Metro/Metrobús,
Vista Hermosa,19.30681,-99.11179,Metro/Metrobús,
Las Bombas,19.31147,-99.11074,Metro/Metrobús,
Tepetlapa,19.31634,-99.11163,Metro/Metrobús,
La Virgen,19.32068,-99.11362,Metro/Metrobús,
Manuela Sáenz,19.32421,-99.11397,Metro/Metrobús,
ESIME Culhuacán,19.32921,-99.11354,Metro/Metrobús,
Cafetales,19.33372,-99.11315,Metro/Metrobús,
Calzada Taxqueña,19.33876,-99.113,Metro/Metrobús,
Barrio San Antonio,19.34313,-99.11244,Metro/Metrobús,
Pueblo los Reyes,19.34798,-99.11134,Metro/Metrobús,
Ermita Iztapalapa,19.35663,-99.11134,Metro/Metrobús,
Atanasio G. Saravia,19.36126,-99.11028,Metro/Metrobús,
Escuadrón 201,19.36604,-99.10919,Metro/Metrobús,
Oriente 116,19.39026,-99.11266,Metro/Metrobús,
Metro Coyuya,19.39939,-99.11353,Metro/Metrobús,
Hospital General Troncoso,19.40546,-99.11357,Metro/Metrobús,
Mixiuhca,19.4082,-99.11328,Metro/Metrobús,
Avenida del Taller,19.41278,-99.11282,Metro/Metrobús,
Venustiano Carranza,19.41837,-99.11222,Metro/Metrobús,
San Lázaro Norte,19.43122,-99.1152,Metro/Metrobús,
Archivo General de la Nación,19.43726,-99.11438,Metro/Metrobús,
Mercado Morelos,19.44128,-99.11343,Metro/Metrobús,
